Category,Question,Choice A,Choice B,Choice C,Choice D,Correct Answer
Which year did World War II end?,1943,1944,1945,1946,1945, History
Who was the first President of the United States?,John Adams,George Washington,Thomas Jefferson,Benjamin Franklin,George Washington,History
Which civilization built the pyramids of Giza?,Romans,Greeks,Persians,Egyptians,Egyptians,History
In which year did the Berlin Wall fall?,1987,1988,1989,1990,1989,History
Who wrote the Declaration of Independence?,Benjamin Franklin,John Adams,George Washington,Thomas Jefferson,Thomas Jefferson,History
The Industrial Revolution began in which country?,France,Germany,England,United States,England,History
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au,Science
What is the closest planet to the Sun?,Venus,Mars,Mercury,Earth,Mercury,Science
What is the hardest natural substance on Earth?,Steel,Gold,Platinum,Diamond,Diamond,Science
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon,Science
What is the speed of light in miles per second?,186000,156000,196000,176000,186000,Science
What is the largest organ in the human body?,Heart,Brain,Liver,Skin,Skin,Science
What is the capital of Australia?,Sydney,Melbourne,Perth,Canberra,Canberra,Science
Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile,Geography
Which continent is the largest by land area?,North America,Africa,Asia,Europe,Asia,Geography
Geography,What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City,Geography
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific,Geography
Which desert is the largest in the world?,Gobi,Arabian,Sahara,Antarctic,Antarctic,Geography
Who wrote "Romeo and Juliet"?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare,Literature
What is the first book in "The Chronicles of Narnia" series?,Prince Caspian,The Silver Chair,The Lion the Witch and the Wardrobe,The Magician's Nephew,The Lion the Witch and the Wardrobe,Literature
Who wrote "Pride and Prejudice"?,Emily Bronte,Charlotte Bronte,Virginia Woolf,Jane Austen,Jane Austen,Literature
Which author created Sherlock Holmes?,Charles Dickens,Arthur Conan Doyle,Agatha Christie,Mark Twain,Arthur Conan Doyle,Literature
Who wrote "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells,George Orwell,Literature
What is the first Harry Potter book titled?,Chamber of Secrets,Prisoner of Azkaban,Philosopher's Stone,Goblet of Fire,Philosopher's Stone,Literature
What is the square root of 144?,10,11,12,13,12,Math
How many degrees are in a circle?,180,270,360,400,360,Math
What is 25% of 80?,15,20,25,30,20,Math
What is the next number in the sequence: 2,4,8,16...?,24,32,30,28,32,Math
What is the value of π (pi) rounded to two decimal places?,3.12,3.14,3.16,3.18,3.14,Math
How many sides does a hexagon have?,5,6,7,8,6,Math
