Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Category
Vilken artist sjöng låten 'Thriller'?,Michael Jackson,Prince,Madonna,Elton John,Michael Jackson,Music
Vilket band släppte albumet 'The Wall'?,Led Zeppelin,Pink Floyd,The Rolling Stones,The Beatles,Pink Floyd,Music
Vilken genre är mest förknippad med Bob Marley?,Blues,Reggae,Jazz,Rock,Reggae,Music
Vilket årtionde blev Beatles kända?,1940-talet,1950-talet,1960-talet,1970-talet,1960-talet,Music
Vem är känd som 'The Queen of Pop'?,Madonna,Whitney Houston,Celine Dion,Britney Spears,Madonna,Music
Vilken svensk artist vann Eurovision Song Contest 1974?,Carola,ABBA,Roxette,Ace of Base,ABBA,Music
Vilken låt sjöng Whitney Houston i filmen 'The Bodyguard'?,I Will Survive,Endless Love,I Will Always Love You,My Heart Will Go On,I Will Always Love You,Music
Vilket instrument är Miles Davis mest känd för att spela?,Gitarr,Trumpet,Saxofon,Piano,Trumpet,Music
Vad heter Beyoncés första soloalbum?,Lemonade,Dangerously in Love,4,B'Day,Dangerously in Love,Music
Vilken är den mest streamade låten på Spotify (2024)?,Shape of You,Blinding Lights,Rockstar,Old Town Road,Shape of You,Music
Vilket land kommer musikgruppen BTS från?,Kina,Japan,Sydkorea,Thailand,Sydkorea,Music
Vem skrev operan 'Carmen'?,Wolfgang Amadeus Mozart,Georges Bizet,Ludwig van Beethoven,Giuseppe Verdi,Georges Bizet,Music
Vilken låt gjorde Elvis Presley känd?,Jailhouse Rock,Imagine,Bohemian Rhapsody,Purple Rain,Jailhouse Rock,Music
Vilken artist hade en hit med 'Rolling in the Deep'?,Adele,Lorde,Taylor Swift,Katy Perry,Adele,Music
Vilket instrument är Ludwig van Beethoven mest förknippad med?,Violin,Trumpet,Piano,Gitarr,Piano,Music
Vilket band sjöng 'Bohemian Rhapsody'?,Queen,The Who,Genesis,Fleetwood Mac,Queen,Music
Vad hette Michael Jacksons ranch?,Neverland,Graceland,Wonderland,Fairyland,Neverland,Music
Vilket år släpptes Nirvanas album 'Nevermind'?,1989,1991,1993,1995,1991,Music
Vilken svensk artist hade en hit med 'Dancing on My Own'?,Zara Larsson,Robyn,Tove Lo,Avicii,Robyn,Music
Vem skrev låten 'Imagine'?,Paul McCartney,John Lennon,George Harrison,Ringo Starr,John Lennon,Music
